seqname,source,feature,start,end,score,strand,frame,ID,Name,gbkey,gene,gene_biotype,locus_tag,old_locus_tag
NC_008463.1,RefSeq,gene,129498,129707,.,-,.,gene-PA14_RS00555,PA14_RS00555,Gene,NA,protein_coding,PA14_RS00555,PA14_01330
NC_008463.1,RefSeq,gene,129723,130517,.,+,.,gene-PA14_RS00560,PA14_RS00560,Gene,NA,protein_coding,PA14_RS00560,PA14_01340
NC_008463.1,RefSeq,gene,130492,131070,.,+,.,gene-PA14_RS00565,PA14_RS00565,Gene,NA,protein_coding,PA14_RS00565,PA14_01350
NC_008463.1,RefSeq,gene,131135,132208,.,+,.,gene-PA14_RS00570,PA14_RS00570,Gene,NA,protein_coding,PA14_RS00570,PA14_01360
NC_008463.1,RefSeq,gene,132234,133148,.,+,.,gene-PA14_RS00575,cyoE,Gene,cyoE,protein_coding,PA14_RS00575,PA14_01380
NC_008463.1,RefSeq,gene,133174,133809,.,+,.,gene-PA14_RS00580,senC,Gene,senC,protein_coding,PA14_RS00580,PA14_01390
NC_008463.1,RefSeq,gene,133849,134301,.,-,.,gene-PA14_RS00585,PA14_RS00585,Gene,NA,protein_coding,PA14_RS00585,PA14_01400
NC_008463.1,RefSeq,gene,134433,134906,.,+,.,gene-PA14_RS00590,PA14_RS00590,Gene,NA,protein_coding,PA14_RS00590,PA14_01410
NC_008463.1,RefSeq,gene,135162,135890,.,+,.,gene-PA14_RS00595,PA14_RS00595,Gene,NA,protein_coding,PA14_RS00595,PA14_01430
NC_008463.1,RefSeq,gene,135915,136502,.,+,.,gene-PA14_RS00600,PA14_RS00600,Gene,NA,protein_coding,PA14_RS00600,PA14_01440
NC_008463.1,RefSeq,gene,136732,138081,.,+,.,gene-PA14_RS00605,PA14_RS00605,Gene,NA,protein_coding,PA14_RS00605,PA14_01460
NC_008463.1,RefSeq,gene,138130,138816,.,+,.,gene-PA14_RS00610,PA14_RS00610,Gene,NA,protein_coding,PA14_RS00610,PA14_01470
NC_008463.1,RefSeq,gene,138917,139651,.,+,.,gene-PA14_RS00615,PA14_RS00615,Gene,NA,protein_coding,PA14_RS00615,PA14_01480
NC_008463.1,RefSeq,gene,139831,140241,.,+,.,gene-PA14_RS00620,PA14_RS00620,Gene,NA,protein_coding,PA14_RS00620,PA14_01490
NC_008463.1,RefSeq,gene,140273,141181,.,-,.,gene-PA14_RS00625,PA14_RS00625,Gene,NA,protein_coding,PA14_RS00625,PA14_01500
NC_008463.1,RefSeq,gene,141481,141762,.,-,.,gene-PA14_RS00630,parE,Gene,parE,protein_coding,PA14_RS00630,PA14_01510
NC_008463.1,RefSeq,gene,141759,141986,.,-,.,gene-PA14_RS00635,PA14_RS00635,Gene,NA,protein_coding,PA14_RS00635,PA14_01520
NC_008463.1,RefSeq,gene,142162,142785,.,-,.,gene-PA14_RS00640,PA14_RS00640,Gene,NA,protein_coding,PA14_RS00640,PA14_01540
NC_008463.1,RefSeq,gene,142886,143386,.,+,.,gene-PA14_RS00645,PA14_RS00645,Gene,NA,protein_coding,PA14_RS00645,PA14_01550
NC_008463.1,RefSeq,gene,143458,143799,.,+,.,gene-PA14_RS00650,PA14_RS00650,Gene,NA,protein_coding,PA14_RS00650,PA14_01560
NC_008463.1,RefSeq,gene,143881,145308,.,-,.,gene-PA14_RS00655,gabP,Gene,gabP,protein_coding,PA14_RS00655,PA14_01580
NC_008463.1,RefSeq,gene,145477,146970,.,-,.,gene-PA14_RS00660,PA14_RS00660,Gene,NA,protein_coding,PA14_RS00660,PA14_01600
NC_008463.1,RefSeq,gene,147054,147341,.,-,.,gene-PA14_RS00665,bauB,Gene,bauB,protein_coding,PA14_RS00665,PA14_01610
NC_008463.1,RefSeq,gene,147341,148687,.,-,.,gene-PA14_RS00670,bauA,Gene,bauA,protein_coding,PA14_RS00670,PA14_01620
NC_008463.1,RefSeq,gene,148823,149740,.,+,.,gene-PA14_RS00675,bauR,Gene,bauR,protein_coding,PA14_RS00675,PA14_01640
NC_008463.1,RefSeq,gene,149853,151223,.,-,.,gene-PA14_RS00680,guaD,Gene,guaD,protein_coding,PA14_RS00680,PA14_01660
NC_008463.1,RefSeq,gene,152381,153952,.,+,.,gene-PA14_RS00690,PA14_RS00690,Gene,NA,protein_coding,PA14_RS00690,PA14_01670
NC_008463.1,RefSeq,gene,153952,155049,.,+,.,gene-PA14_RS00695,PA14_RS00695,Gene,NA,protein_coding,PA14_RS00695,PA14_01680
NC_008463.1,RefSeq,gene,155072,156052,.,+,.,gene-PA14_RS00700,PA14_RS00700,Gene,NA,protein_coding,PA14_RS00700,PA14_01690
NC_008463.1,RefSeq,gene,156164,156727,.,+,.,gene-PA14_RS00705,ahpC,Gene,ahpC,protein_coding,PA14_RS00705,PA14_01710
NC_008463.1,RefSeq,gene,156872,158437,.,+,.,gene-PA14_RS00710,ahpF,Gene,ahpF,protein_coding,PA14_RS00710,PA14_01720
NC_008463.1,RefSeq,gene,158517,159413,.,-,.,gene-PA14_RS00715,ppk2,Gene,ppk2,protein_coding,PA14_RS00715,PA14_01730
NC_008463.1,RefSeq,gene,159868,161217,.,+,.,gene-PA14_RS00720,PA14_RS00720,Gene,NA,protein_coding,PA14_RS00720,PA14_01750
NC_008463.1,RefSeq,gene,161324,162376,.,+,.,gene-PA14_RS00725,PA14_RS00725,Gene,NA,protein_coding,PA14_RS00725,PA14_01760
NC_008463.1,RefSeq,gene,162413,163261,.,-,.,gene-PA14_RS00730,PA14_RS00730,Gene,NA,protein_coding,PA14_RS00730,PA14_01770
NC_008463.1,RefSeq,gene,163296,163922,.,-,.,gene-PA14_RS00735,PA14_RS00735,Gene,NA,protein_coding,PA14_RS00735,PA14_01780
NC_008463.1,RefSeq,gene,164072,164590,.,-,.,gene-PA14_RS00740,PA14_RS00740,Gene,NA,protein_coding,PA14_RS00740,PA14_01790
NC_008463.1,RefSeq,gene,164828,165925,.,+,.,gene-PA14_RS00745,PA14_RS00745,Gene,NA,protein_coding,PA14_RS00745,PA14_01800
NC_008463.1,RefSeq,gene,165998,166960,.,+,.,gene-PA14_RS00750,PA14_RS00750,Gene,NA,protein_coding,PA14_RS00750,PA14_01810
NC_008463.1,RefSeq,gene,167065,168015,.,+,.,gene-PA14_RS00755,PA14_RS00755,Gene,NA,protein_coding,PA14_RS00755,PA14_01830
NC_008463.1,RefSeq,gene,168212,168757,.,+,.,gene-PA14_RS00760,PA14_RS00760,Gene,NA,protein_coding,PA14_RS00760,PA14_01840
NC_008463.1,RefSeq,gene,168754,169749,.,+,.,gene-PA14_RS00765,PA14_RS00765,Gene,NA,protein_coding,PA14_RS00765,PA14_01860
NC_008463.1,RefSeq,gene,169897,172284,.,+,.,gene-PA14_RS00770,PA14_RS00770,Gene,NA,protein_coding,PA14_RS00770,PA14_01870
NC_008463.1,RefSeq,gene,172572,173489,.,+,.,gene-PA14_RS00775,pcaQ,Gene,pcaQ,protein_coding,PA14_RS00775,PA14_01890
NC_008463.1,RefSeq,gene,173624,174343,.,+,.,gene-PA14_RS00780,pcaH,Gene,pcaH,protein_coding,PA14_RS00780,PA14_01900
NC_008463.1,RefSeq,gene,174354,174959,.,+,.,gene-PA14_RS00785,pcaG,Gene,pcaG,protein_coding,PA14_RS00785,PA14_01910
NC_008463.1,RefSeq,gene,175175,176014,.,+,.,gene-PA14_RS00790,PA14_RS00790,Gene,NA,protein_coding,PA14_RS00790,PA14_01930
NC_008463.1,RefSeq,gene,176167,177318,.,+,.,gene-PA14_RS00795,triA,Gene,triA,protein_coding,PA14_RS00795,PA14_01940
NC_008463.1,RefSeq,gene,177315,178385,.,+,.,gene-PA14_RS00800,triB,Gene,triB,protein_coding,PA14_RS00800,PA14_01960
NC_008463.1,RefSeq,gene,178382,181429,.,+,.,gene-PA14_RS00805,triC,Gene,triC,protein_coding,PA14_RS00805,PA14_01970
NC_008463.1,RefSeq,gene,181628,182566,.,+,.,gene-PA14_RS00810,PA14_RS00810,Gene,NA,protein_coding,PA14_RS00810,PA14_01980
NC_008463.1,RefSeq,gene,182682,182867,.,+,.,gene-PA14_RS00815,PA14_RS00815,Gene,NA,protein_coding,PA14_RS00815,PA14_01990
NC_008463.1,RefSeq,gene,183454,184788,.,+,.,gene-PA14_RS00825,PA14_RS00825,Gene,NA,protein_coding,PA14_RS00825,PA14_02020
NC_008463.1,RefSeq,gene,184817,185614,.,-,.,gene-PA14_RS00830,PA14_RS00830,Gene,NA,protein_coding,PA14_RS00830,PA14_02030
NC_008463.1,RefSeq,gene,185692,187308,.,+,.,gene-PA14_RS00835,PA14_RS00835,Gene,NA,protein_coding,PA14_RS00835,PA14_02050
NC_008463.1,RefSeq,gene,187980,188816,.,+,.,gene-PA14_RS00845,PA14_RS00845,Gene,NA,protein_coding,PA14_RS00845,PA14_02060
NC_008463.1,RefSeq,gene,189058,190464,.,+,.,gene-PA14_RS00850,PA14_RS00850,Gene,NA,protein_coding,PA14_RS00850,PA14_02070
NC_008463.1,RefSeq,gene,190557,191222,.,+,.,gene-PA14_RS00855,PA14_RS00855,Gene,NA,protein_coding,PA14_RS00855,PA14_02090
NC_008463.1,RefSeq,gene,191228,191818,.,+,.,gene-PA14_RS00860,PA14_RS00860,Gene,NA,protein_coding,PA14_RS00860,PA14_02100
NC_008463.1,RefSeq,gene,191825,192652,.,-,.,gene-PA14_RS00865,siaD,Gene,siaD,protein_coding,PA14_RS00865,PA14_02110
NC_008463.1,RefSeq,gene,192659,193039,.,-,.,gene-PA14_RS00870,siaC,Gene,siaC,protein_coding,PA14_RS00870,PA14_02130
NC_008463.1,RefSeq,gene,193066,193608,.,-,.,gene-PA14_RS00875,siaB,Gene,siaB,protein_coding,PA14_RS00875,PA14_02140
NC_008463.1,RefSeq,gene,193617,195608,.,-,.,gene-PA14_RS00880,siaA,Gene,siaA,protein_coding,PA14_RS00880,PA14_02150
NC_008463.1,RefSeq,gene,195871,196920,.,-,.,gene-PA14_RS00885,PA14_RS00885,Gene,NA,protein_coding,PA14_RS00885,PA14_02180
NC_008463.1,RefSeq,gene,196940,197542,.,-,.,gene-PA14_RS00890,cheD,Gene,cheD,protein_coding,PA14_RS00890,PA14_02190
NC_008463.1,RefSeq,gene,197548,198390,.,-,.,gene-PA14_RS00895,PA14_RS00895,Gene,NA,protein_coding,PA14_RS00895,PA14_02200
NC_008463.1,RefSeq,gene,198460,200499,.,-,.,gene-PA14_RS00900,aer2,Gene,aer2,protein_coding,PA14_RS00900,PA14_02220
NC_008463.1,RefSeq,gene,200535,201020,.,-,.,gene-PA14_RS00905,PA14_RS00905,Gene,NA,protein_coding,PA14_RS00905,PA14_02230
